Company Name,Headquarters,Size,Type of ownership,Industry,Sector
"Becker Technical Staffing, Inc.","Merion Station, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Clarivate Analytics,"Philadelphia, PA",1001 to 5000 employees,Company - Public,Research & Development,Business Services
ZS Associates,"Evanston, IL",5001 to 10000 employees,Company - Private,Consulting,Business Services
NewRez,"Fort Washington, PA",1001 to 5000 employees,Company - Public,Lending,Finance
"Penn National Gaming, Inc.","Wyomissing, PA",10000+ employees,Company - Public,Gambling,"Arts, Entertainment & Recreation"
STEVENS CAPITAL MANAGEMENT LP,"Radnor, PA",51 to 200 employees,Company - Private,Financial Analytics & Research,Finance
Red Tettemer,"Philadelphia, PA",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Staffing the Universe,"East Brunswick, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
The GBS Group,"Virginia Beach, VA",51 to 200 employees,Company - Private,Architectural & Engineering Services,Business Services
CHOP,"Philadelphia, PA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
"Riffyn, Inc","Oakland, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Jornaya,"Conshohocken, PA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Quotient Sciences,"Nottingham, United Kingdom",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
WalkerHealthcareIT,"Bloomfield Hills, MI",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
PMHCC Inc.,"Philadelphia, PA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Ampcus Incorporated,"Chantilly, VA",501 to 1000 employees,Company - Private,Consulting,Business Services
Slyce,"Philadelphia, PA",1 to 50 employees,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology
WebbMason Analytics,"Hunt Valley, MD",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
Dextro Software Systems,"Princeton Junction, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology
Eastern Metal Recycling,"Warrington, United Kingdom",1001 to 5000 employees,Company - Private,Metals Brokers,Mining & Metals
Tandigm Health LLC,"West Conshohocken, PA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Tetra Tech,"Pasadena, CA",10000+ employees,Company - Public,Architectural & Engineering Services,Business Services
Alpha Consulting,"East Brunswick, NJ",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Qurate Retail Group,"West Chester, PA",10000+ employees,Company - Public,Other Retail Stores,Retail
Techligent,"Vienna, VA",1 to 50 employees,Company - Private,IT Services,Information Technology
"VSE, Inc.","Langhorne, PA",1 to 50 employees,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications
City of Philadelphia,"Philadelphia, PA",10000+ employees,Government,Municipal Governments,Government
WuXi AppTec,"Shanghai, China",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Community Behavioral Health,"Phila, PA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care
Revantage Corporate Services,"Chicago, IL",201 to 500 employees,Company - Private,Real Estate,Real Estate
"Avacend, Inc.","Alpharetta, GA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
American Red Cross,"Washington, DC",10000+ employees,Nonprofit Organization,Social Assistance,Non-Profit
TDI Technologies Inc.,"Plano, TX",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Philadelphia District Attorney's Office,"Philadelphia, PA",501 to 1000 employees,Government,Municipal Governments,Government
"Beacon Hill Staffing Group, LLC","Boston, MA",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Citygate Automotive Ltd,"Ruislip, United Kingdom",201 to 500 employees,Company - Private,Vehicle Dealers,Retail
Ciright,"Conshohocken, PA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
ConnectiveRx,"Whippany, NJ",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Cambridge Advisory Group,"King of Prussia, PA",1 to 50 employees,Company - Private,Consulting,Business Services
Penn National Gaming,"Wyomissing, PA",10000+ employees,Company - Public,Gambling,"Arts, Entertainment & Recreation"
piano.io,"New York, NY",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
ORS Partners,"Audubon, PA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Forfeiture Support Associates,"Ashburn, VA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Turnberry Solutions,"Blue Bell, PA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Jazz Pharma,"Palo Alto, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Contemporary Staffing Solutions,"Mount Laurel, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
"Login Consulting Services, Inc","El Segundo, CA",51 to 200 employees,Company - Private,Consulting,Business Services
"Data-Core System, Inc.","Philadelphia, PA",201 to 500 employees,Company - Private,IT Services,Information Technology
Spark Therapeutics,"Philadelphia, PA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
IQVIA,"Durham, NC",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Health Union,"Philadelphia, PA",51 to 200 employees,Company - Private,Publishing,Media
Piper Companies,"Mc Lean, VA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
PVK Corporation,"Herndon, VA",1 to 50 employees,Company - Private,IT Services,Information Technology
IntePros,"Lexington, MA",201 to 500 employees,Company - Private,Consulting,Business Services
Gopuff,"Philadelphia, PA",1001 to 5000 employees,Company - Private,Express Delivery Services,Transportation & Logistics
Micro-Data Systems Inc.,"Holmdel, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology
Adaptimmune,"Abingdon, United Kingdom",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
"iTech Solutions, Inc","Farmington, CT",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
"MetaSense, Inc.","West Berlin, NJ",1 to 50 employees,Company - Private,IT Services,Information Technology
US Tech Solutions Inc.,"Edison, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
amerihealth,"Philadelphia, PA",5001 to 10000 employees,Subsidiary or Business Segment,Insurance Carriers,Insurance
Optum,"Minnetonka, MN",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
nfolks,"Bellevue, WA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
"SHS, Incorporated","Naperville, IL",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
Swift,"La Hulpe, Belgium",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Abzena,"Cambridge, United Kingdom",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Elsevier,"Amsterdam, Netherlands",5001 to 10000 employees,Subsidiary or Business Segment,Publishing,Media
Peoplentech,"Vienna, VA",1 to 50 employees,Contract,IT Services,Information Technology
InfoQuest Consulting Group,"Edison, NJ",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Thomas Jefferson University Hospital,"Philadelphia, PA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Oncora Medical,"Philadelphia, PA",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
SDI Inc,"Bristol, PA",201 to 500 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
First Quality Enterprises Inc,"Great Neck, NY",1001 to 5000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing
Angeion Group,"Philadelphia, PA",1 to 50 employees,Company - Private,Consulting,Business Services
Tata Elxsi,"BENGALURU, India",1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
Boeing,"Chicago, IL",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
"Zachary Piper Solutions, LLC","Mc Lean, VA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
AccessLex Institute,"West Chester, PA",51 to 200 employees,Nonprofit Organization,Colleges & Universities,Education
Freedom Mortgage,"Mount Laurel, NJ",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Inovio Pharmaceuticals,"Plymouth Meeting, PA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
RELX Group,"London, United Kingdom",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
NextGen Global Resources LLC,"San Diego, CA",501 to 1000 employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications
InCyte,"Wilmington, DE",501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Eurofins,"Luxembourg, Luxembourg",10000+ employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Merck,"Kenilworth, NJ",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
ProClinical,"London, United Kingdom",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Ettain Group,"Charlotte, NC",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Arbutus Biopharma,"Burnaby, Canada",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
HealthVerity,"Philadelphia, PA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Axtria,"Berkeley Heights, NJ",501 to 1000 employees,Company - Private,Consulting,Business Services
K-Tek Resourcing LLC,"Houston, TX",201 to 500 employees,Company - Private,IT Services,Information Technology
PPD,"Wilmington, NC",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Lockheed Martin,"Bethesda, MD",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Pfizer,"New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
A2C Consulting,"Philadelphia, PA",1 to 50 employees,Company - Private,Consulting,Business Services
"Computer Enterprises, Inc.","Pittsburgh, PA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Citi,"New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
RCM Technologies,"Pennsauken, NJ",1001 to 5000 employees,Company - Public,IT Services,Information Technology
"Integrated Technology Strategies, Inc.","Cherry Hill, NJ",1 to 50 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
"Spirovant Sciences, Inc.","Philadelphia, PA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
M3 USA,"Fort Washington, PA",1 to 50 employees,Company - Private,Internet,Information Technology
"Law School Admissions Council, Inc.","Newtown, PA",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
On-Board Companies,"East Windsor, NJ",1001 to 5000 employees,Company - Private,Consulting,Business Services
Fred Beans,"Doylestown, PA",1001 to 5000 employees,Company - Private,Vehicle Dealers,Retail
Enverus,"Austin, TX",1001 to 5000 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities"
Citibank,"Irving, TX",1001 to 5000 employees,Company - Private,Lending,Finance
Eisai US,"Hatfield, United Kingdom",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
AETEA Information Technology Inc,"Rockville, MD",201 to 500 employees,Company - Private,IT Services,Information Technology
Keystone Industries,"Gibbstown, NJ",201 to 500 employees,Company - Private,Health Care Products Manufacturing,Manufacturing
Cooper University Health Care,"Camden, NJ",5001 to 10000 employees,Hospital,Health Care Services & Hospitals,Health Care
"Pyramid Consulting, Inc.","Alpharetta, GA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology
The Fountain Group,"Tampa, FL",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
System Soft Technologies,"Tampa, FL",201 to 500 employees,Company - Private,IT Services,Information Technology
APN Software Services Inc.,"Newark, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
IT Pros,"Philadelphia, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Main Line Health,"Bryn Mawr, PA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Southwest Research Institute,"San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services
The Nature's Bounty Co.,"Ronkonkoma, NY",1001 to 5000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing
Tata Consultancy Services,"Mumbai, India",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
B.E.A.T.,"San Antonio, TX",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Knowesis Inc.,"Fairfax, VA",51 to 200 employees,Company - Private,Consulting,Business Services
iHeartMedia,"San Antonio, TX",10000+ employees,Company - Public,Radio,Media
Tata Consultancy Services (North America),"New York, NY",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology
B E A T LLC,"Plantation, FL",1 to 50 employees,Company - Private,Telecommunications Services,Telecommunications
ka-hoot,"Washington, DC",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Horizon Corp,"Memphis, TN",5001 to 10000 employees,Subsidiary or Business Segment,Investment Banking & Asset Management,Finance
"Ke`aki Technologies, LLC","Honolulu, HI",1001 to 5000 employees,Contract,Computer Hardware & Software,Information Technology
"CICONIX, LLC","Annapolis, MD",1 to 50 employees,Company - Private,Federal Agencies,Government
"Koniag, Inc.","Kodiak, AK",501 to 1000 employees,Company - Private,Consulting,Business Services
Valero Energy Corporation,"San Antonio, TX",10000+ employees,Company - Public,Energy,"Oil, Gas, Energy & Utilities"
Valero,"San Antonio, TX",10000+ employees,Company - Public,Energy,"Oil, Gas, Energy & Utilities"
Gridiron IT Solutions,"Reston, VA",51 to 200 employees,Company - Private,IT Services,Information Technology
Ionidea,"Fairfax, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
C2 GPS- Alamo Workforce,"Austin, TX",501 to 1000 employees,Company - Private,Consulting,Business Services
Scaleworks,"San Antonio, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
"York Solutions, LLC","Westchester, IL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
LMI,"Tysons, VA",1001 to 5000 employees,Nonprofit Organization,Consulting,Business Services
Reliable Software Resources,"Northville, MI",501 to 1000 employees,Company - Private,IT Services,Information Technology
OptumCare,"Eden Prairie, MN",501 to 1000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Onica Group,"Los Angeles, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
Speridian Technologies LLC,"Albuquerque, NM",501 to 1000 employees,Company - Private,IT Services,Information Technology
Deacon Recruiting,"San Antonio, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
H E B,"San Antonio, TX",10000+ employees,Company - Private,Grocery Stores & Supermarkets,Retail
Cyber Warrior Network,"San Antonio, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
"NTT DATA, Inc.","Singapore, Singapore",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
Mylan Inc.,"Hatfield, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Huntington Ingalls Industries,"Newport News, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
CDO Technologies Inc,"Dayton, OH",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
CompQsoft,"Houston, TX",51 to 200 employees,Company - Private,Consulting,Business Services
Victory Capital Management Inc.,"San Antonio, TX",201 to 500 employees,Company - Public,Investment Banking & Asset Management,Finance
"Amyx, Inc.","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
HCL Technologies Ltd.,"Noida, India",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Navigant Consulting,"Washington, DC",5001 to 10000 employees,Company - Private,Consulting,Business Services
Principle Auto,"San Antonio, TX",501 to 1000 employees,Company - Private,Vehicle Dealers,Retail
M9 Solutions,"Arlington, VA",51 to 200 employees,Company - Private,IT Services,Information Technology
Methodist Hospital Metropolitan,"San Antonio, TX",201 to 500 employees,Hospital,Health Care Services & Hospitals,Health Care
UnitedHealth Group,"Minnetonka, MN",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
Methodist Hospital Northeast,"San Antonio, TX",5001 to 10000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Methodist Hospital Stone Oak,"San Antonio, TX",5001 to 10000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Wits Solutions,"Sterling, VA",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services
"Technocrafts, Inc.","Chantilly, VA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
NJVC,"Chantilly, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Cherokee Federal,"Rusk, TX",1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,Finance
Leonie Industries,"Arlington, VA",51 to 200 employees,Company - Private,Federal Agencies,Government
Convene Technologies,"Tampa, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
Chenega Healthcare Services,"San Antonio, TX",501 to 1000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Air Force Materiel Command,"Wright Patterson AFB, OH",5001 to 10000 employees,Government,Research & Development,Business Services
"The McConnell Group, Inc","Rockville, MD",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
University of Texas at San Antonio,"San Antonio, TX",1001 to 5000 employees,College / University,Colleges & Universities,Education
Texas Biomedical Research,"San Antonio, TX",201 to 500 employees,Nonprofit Organization,Research & Development,Business Services
CAMRIS International,"Bethesda, MD",201 to 500 employees,Company - Private,Federal Agencies,Government
PETCO,"San Diego, CA",10000+ employees,Company - Private,Pet & Pet Supplies Stores,Retail
General Dynamics Information Technology,"Fairfax, VA",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology
VIA Metropolitan Transit,"San Antonio, TX",1001 to 5000 employees,Government,Municipal Governments,Government
"Cherokee Nation Businesses, LLC","Catoosa, OK",1001 to 5000 employees,Company - Private,Accounting,Accounting & Legal
CACI International,"Arlington, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
University Health System,"San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Spectrum Comm,"Newport News, VA",51 to 200 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
"BB&E, Inc.","BRASILIA, Brazil",10000+ employees,Company - Public,Banks & Credit Unions,Finance
BioBridge Global,"San Antonio, TX",501 to 1000 employees,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
HP Inc.,"Palo Alto, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Northrop Grumman,"Falls Church, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Illumina,"San Diego, CA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Midland Credit Management,"San Diego, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance
Poseida Therapeutics,"San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Crown Bioscience,"San Diego, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
ProSci,"Poway, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
"CliniComp, Intl.","San Diego, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Cuker,"San Diego, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
SiO Digital,"San Diego, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
"Invivoscribe, Inc.","San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Realty Income,"San Diego, CA",51 to 200 employees,Company - Public,Real Estate,Real Estate
Dexcom,"San Diego, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Abbott,"Abbott Park, IL",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
Emergent BioSolutions,"Gaithersburg, MD",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Seismic,"San Diego, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Sysintelli,"San Diego, CA",51 to 200 employees,Company - Private,Accounting,Accounting & Legal
Booz Allen Hamilton Inc.,"Mc Lean, VA",10000+ employees,Company - Public,Consulting,Business Services
Lilly,"Indianapolis, IN",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Vertex Pharmaceuticals,"Boston, MA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Synectics Inc.,"Chicago, IL",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
"Central Business Solutions, Inc","Fremont, CA",51 to 200 employees,Company - Private,Consulting,Business Services
ResMed,"San Diego, CA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Cue,"San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
ICW Group,"San Diego, CA",501 to 1000 employees,Company - Private,Insurance Carriers,Insurance
Conflux Systems Inc.,"Alpharetta, GA",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
San Diego Gas & Electric,"San Diego, CA",1001 to 5000 employees,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities"
Abbott Laboratories,"Abbott Park, IL",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
UC San Diego,"La Jolla, CA",10000+ employees,College / University,Colleges & Universities,Education
One,"Amsterdam, Netherlands",1 to 50 employees,Company - Public,Consulting,Business Services
SDSU Research Foundation,"San Diego, CA",1001 to 5000 employees,Nonprofit Organization,Grantmaking Foundations,Non-Profit
"ASK Staffing, Inc.","Alpharetta, GA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
General Atomics and Affiliated Companies,"San Diego, CA",5001 to 10000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
University of California - San Diego Medical Centers,"San Diego, CA",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Encore Capital Group,"San Diego, CA",5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance
Neurocrine Biosciences,"San Diego, CA",501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
The Scripps Research Institute,"La Jolla, CA",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services
ProSci Inc.,"Poway, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Client Solution Architects,"Mechanicsburg, PA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
VIA Technical,"San Diego, CA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Procede Software,"San Diego, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
California State University,"Long Beach, CA",10000+ employees,College / University,Colleges & Universities,Education
Millennium Health,"San Diego, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Kaygen Inc,"Irvine, CA",1 to 50 employees,Company - Private,Consulting,Business Services
Eli Lilly and Company,"Indianapolis, IN",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Park Computer Systems INC,"Newark, CA",1 to 50 employees,Company - Private,Consulting,Business Services
Qualcomm Incorporated,"San Diego, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Sharp HealthCare,"San Diego, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
ProMedia,"Miami, FL",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Eli Lilly And Company,"Indianapolis, IN",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
BTS Research,"San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
SmartDrive Systems,"San Diego, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
Itility,"Eindhoven, Netherlands",51 to 200 employees,Company - Private,IT Services,Information Technology
Vividion Therapeutics,"San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Wood,"Aberdeen, United Kingdom",10000+ employees,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
PSI Pax,"California, MD",51 to 200 employees,Contract,IT Services,Information Technology
Kuaishou Technology,"Beijing, China",5001 to 10000 employees,Company - Private,Internet,Information Technology
BioDuro,"San Diego, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Arrowhead Pharmaceuticals,"Pasadena, CA",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
LATITUDE Pharmaceuticals,"San Diego, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Sayva Solutions,"La Jolla, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Tandem Diabetes Care,"San Diego, CA",1001 to 5000 employees,Company - Public,Health Care Products Manufacturing,Manufacturing
StepStone,"Berlin, Germany",1001 to 5000 employees,Company - Private,Membership Organizations,Business Services
DFO Global Performance Commerce Limited,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Peraton Corporation,"Herndon, VA",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
HealthStream,"Nashville, TN",501 to 1000 employees,Company - Public,Education Training Services,Education
Logic Planet,"Princeton, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology
Fate Therapeutics,"San Diego, CA",51 to 200 employees,Company - Public,Accounting,Accounting & Legal
"Fate Therapeutics, Inc.","San Diego, CA",51 to 200 employees,Company - Public,Accounting,Accounting & Legal
Bristol-Myers Squibb,"New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Web Shop Manager,"San Diego, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
MITRE,"Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government
TuSimple,"San Diego, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
Shield AI,"San Diego, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Axos Bank,"San Diego, CA",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
BD,"Franklin Lakes, NJ",10000+ employees,Company - Public,Health Care Products Manufacturing,Manufacturing
Absorption Systems,"Exton, PA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
IDC Technologies,"Milpitas, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
"FaceTec, Inc.","Las Vegas, NV",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
ASML,"Veldhoven, Netherlands",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Housecall Pro,"San Diego, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Stem,"Millbrae, CA",51 to 200 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities"
EPM Scientific,"London, United Kingdom",51 to 200 employees,Company - Public,Staffing & Outsourcing,Business Services
"Samsung Semiconductor, Inc.","Suwon, South Korea",1001 to 5000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Inseego,"San Diego, CA",501 to 1000 employees,Company - Public,Telecommunications Services,Telecommunications
